Original Name,Name in Other Language,Language,Location
PANDAROS,Πάνδαρος,Greek,Greek
PANKRATIOS,Πανκρατιος,Greek,Greek
PANOPTES,Πανόπτης,Greek,Greek
PANOS,Πάνος,Greek,Greek
PANTELEIMON,Παντελεήμων,Greek,Greek
PANTHERAS,Πάνθηρας,Greek,Greek
PARAMONIMOS,Παραμονιμος,Greek,Greek
PARAMONOS,Παραμονος,Greek,Greek
PARIS,Πάρις,Greek,Greek
PATRIKIOS,Πατρίκιος,Greek,Greek
PATROKLOS,Πάτροκλος,Greek,Greek
PAULOS,Παύλος,Greek,Greek
PAVLOS,Παύλος,Greek,Greek
PEGASOS,Πήγασος,Greek,Greek
PELAGIOS,Πελάγιος,Greek,Greek
PERIKLES,Περικλῆς,Greek,Greek
PERSEUS,Περσεύς,Greek,Greek
PHAIDROS,Φαίδρος,Greek,Greek
PHANÊS,Φάνης,Greek,Greek
PHARAO,Φαραώ,Greek,Greek
PHELIX,Φῆλιξ,Greek,Greek
PHESTOS,Φῆστος,Greek,Greek
PHILANDROS,Φίλανδρος,Greek,Greek
PHILEMON,Φιλήμων,Greek,Greek
PHILETOS,Φίλητος,Greek,Greek
PHILIPPOS,Φίλιππος,Greek,Greek
PHILOKRATES,Φιλοκράτης,Greek,Greek
PHILOMELOS,Φιλομηλος,Greek,Greek
PHILOMENES,Φίλομενης,Greek,Greek
PHILOMENOS,Φιλομενος,Greek,Greek
PHILON,Φίλων,Greek,Greek
PHILOTHEOS,Φιλόθεος,Greek,Greek
PHOBOS,Φόβος,Greek,Greek
PHOIBOS,Φοίβος,Greek,Greek
PHOINIX,Φοῖνιξ,Greek,Greek
PHOKAS,Φωκάς,Greek,Greek
PHOLOS,φώλος,Greek,Greek
PHORKYS,Φόρκυς,Greek,Greek
PHORTOUNATOS,Φορτουνάτος,Greek,Greek
PHOSPHOROS,Φωσφόρος,Greek,Greek
PHOTIOS,Φώτιος,Greek,Greek
PHRIXOS,Φρίξος,Greek,Greek
PHTHA,Φθα,Greek,Greek
PHYLLIDOS,Φυλλίδος,Greek,Greek
PILATOS,Πιλάτος,Greek,Greek
PLATON,Πλάτων,Greek,Greek
PLOUTARCHOS,Πλούταρχος,Greek,Greek
PLOUTON,Πλούτων,Greek,Greek
PODARGE,Ποδαργη,Greek,Greek
POLYDEUKES,Πολυδεύκης,Greek,Greek
POLYDOROS,Πολύδωρος,Greek,Greek
POLYKARPOS,Πολύκαρπος,Greek,Greek
PONTIOS,Πόντιος,Greek,Greek
PONTOS,Πόντος,Greek,Greek
PORPHYRIOS,Πορφύριος,Greek,Greek
POSEIDÔN,Ποσειδῶν,Greek,Greek
POSEIDONIOS,Ποσειδώνιος,Greek,Greek
PRAXIS,Πράξις,Greek,Greek
PRAXITELES,Πραξιτέλης,Greek,Greek
PRIAM,Πρίαμ,Greek,Greek
PRIAMOS,Πρίαμος,Greek,Greek
PROCHOROS,Πρόχορος,Greek,Greek
PROKOPIOS,Προκόπιος,Greek,Greek
PROMÊTHEUS,Προμηθεύς,Greek,Greek
PRÔTEUS,Πρωτεύς,Greek,Greek
PTOLEMAIOS,Πτολεμαῖος,Greek,Greek
PTOOPHAGOS,Πτοοφαγος,Greek,Greek
PYRRHOS,Πύῤῥος,Greek,Greek
PYRROS,Πύρρος,Greek,Greek
PYTHAGORAS,Πυθαγόρας,Greek,Greek
PYTHIS,Πυθις,Greek,Greek
PYTHIOS,Πύθιος,Greek,Greek
RAPHAEL,Ῥαφαὴλ,Greek,Greek
RHAMA,Ῥαμά,Greek,Greek
RHOUBEN,Ῥουβήν,Greek,Greek
SABAOTH,Σαβαώθ,Greek,Greek
SABBAS,Σάββας,Greek,Greek
SAMOUEL,Σαμουήλ,Greek,Greek
SAMPSON,Σαμψών,Greek,Greek
SANACHARIBOS,Σαναχάριβος,Greek,Greek
SAOUL,Σαούλ,Greek,Greek
SATAN,Σατάν,Greek,Greek
SATANAS,Σατανᾶς,Greek,Greek
SAULOS,Σαῦλος,Greek,Greek
SAVVAS,Σάββας,Greek,Greek
SEBASTIANOS,Σεβαστιανός,Greek,Greek
SEILENOS,Σειληνός,Greek,Greek
SELEUKOS,Σέλευκος,Greek,Greek
SERAFEIM,Σεραφείμ,Greek,Greek
SERGIOS,Σέργιος,Greek,Greek
SETH,Σεθ,Greek,Greek
SETH,Σήθ,Greek,Greek
SETHI,Σήθι,Greek,Greek
SETHOS,Σήθος,Greek,Greek
SILAS,Σίλας,Greek,Greek
SILENOS,Σιληνός,Greek,Greek
SILOUANOS,Σιλουανός,Greek,Greek
SIMŌN,Σίμων,Greek,Greek
SIMONIDES,Σιμωνίδης,Greek,Greek
SOKRATES,Σωκράτης,Greek,Greek
SOLOMŌN,Σολομών,Greek,Greek
SOLON,Σόλων,Greek,Greek
SOPHOKLES,Σοφοκλής,Greek,Greek
SOPHOS,Σοφός,Greek,Greek
SOPHRONIOS,Σωφρόνιος,Greek,Greek
SOSIGENES,Σωσιγένης,Greek,Greek
SOSTRATOS,Σώστρατος,Greek,Greek
SOTIRIOS,Σωτήριος,Greek,Greek
SOTIRIS,Σωτήρης,Greek,Greek
SPARTAKOS,Σπάρτακος,Greek,Greek
SPIRIDION,Σπυρίδιον,Greek,Greek
SPIRO,Σπύρο,Greek,Greek
SPIROS,Σπύρος,Greek,Greek
SPYRIDON,Σπυριδων,Greek,Greek
SPYRO,Σπύρο,Greek,Greek
SPYROS,Σπύρος,Greek,Greek
STAMATIOS,Σταμάτιος,Greek,Greek
STAMATIS,Σταμάτις,Greek,Greek
STAVROS,Σταύρος,Greek,Greek
STEFANOS,Στέφανος,Greek,Greek
STELIOS,Στυλιανός,Greek,Greek
STEPHANOS,Στέφανος,Greek,Greek
STRATON,Στράτων,Greek,Greek
STYLIANOS,Στυλιανός,Greek,Greek
TAKIS,Τάκης,Greek,Greek
TARAS,Τάρας,Greek,Greek
TARAS,Тарас,Cyrillic,Greek
TARASIOS,Ταράσιος,Greek,Greek
TELAMON,Τελαμών,Greek,Greek
TELESPHOROS,Τελεσφόρος,Greek,Greek
TERENTIOS,Τερέντιος,Greek,Greek
TERIS,Τέρις,Greek,Greek
THADDAIOS,Θαδδαῖος,Greek,Greek
THALES,Θαλής,Greek,Greek
THANATOS,θάνατος,Greek,Greek
THANOS,Θάνος,Greek,Greek
THEMISTOKLES,Θεμιστοκλῆς,Greek,Greek
THEODOROS,Θεόδωρος,Greek,Greek
THEODOSIOS,Θεοδόσιος,Greek,Greek
THEODOTOS,Θεόδοτος,Greek,Greek
THEODOULOS,Θεόδουλος,Greek,Greek
THEOKRITOS,Θεόκριτος,Greek,Greek
THEOKLÉS,Θεοκλής,Greek,Greek
THEOPHANES,Θεοφάνης,Greek,Greek
THEOPHILOS,Θεόφιλος,Greek,Greek
THEOPHYLAKTOS,Θεοφύλακτος,Greek,Greek
THERAPON,Θεράπων,Greek,Greek
THERISTÍS,Θεριστής,Greek,Greek
THERON,Θήρων,Greek,Greek
THESEUS,Θησεύς,Greek,Greek
THŌMAS,Θωμᾶς,Greek,Greek
THOTH,Θωθ,Greek,Greek
TIMAIOS,Τίμαιος,Greek,Greek
TIMO,Τίμω,Greek,Greek
TIMON,Τίμων,Greek,Greek
TIMOTHEOS,Τιμόθεος,Greek,Greek
TITAN,Τῑτάν,Greek,Greek
TITANOS,Τιτάνος,Greek,Greek
TITOS,Τίτος,Greek,Greek
TOBIAS,Τώβιας,Greek,Greek
TOBIT,Τωβίτ,Greek,Greek
TRITON,Τρίτων,Greek,Greek
TRITONOS,Τρίτωνος,Greek,Greek
TRYPHON,Τρύφων,Greek,Greek
TYCHON,Τύχων,Greek,Greek
VASILIOS,Βασίλης,Greek,Greek
VASILIS,Βασίλης,Greek,Greek
VLASIOS,Βλάσιος,Greek,Greek
VLASIS,Βλάσις,Greek,Greek
XANTHIPPOS,Ξάνθιππος,Greek,Greek
XANTHOS,Ξάνθος,Greek,Greek
XENOCRATES,Ξενοκράτης,Greek,Greek
XENON,Ξένων,Greek,Greek
XENOPHON,Ξενοφών,Greek,Greek
XERXES,Ξέρξης,Greek,Greek
YANNI,Γάννη,Greek,Greek
YANNIS,Γάννης,Greek,Greek
YIANNI,Γιάννη,Greek,Greek
YIANNIS,Γιάννης,Greek,Greek
YIORGOS,Γιώργος,Greek,Greek
YORGOS,Γώργος,Greek,Greek
ZACHARIAS,Ζαχαρίας,Greek,Greek
ZAKCHAIOS,Ζακχαῖος,Greek,Greek
ZAKHARIAS,Ζαχαρίας,Greek,Greek
ZAKKHAIOS,Ζακχαῖος,Greek,Greek
ZARA,Ζαρά,Greek,Greek
ZEBEDAIOS,Ζεβεδαῖος,Greek,Greek
ZENOBIOS,Ζηνόβιος,Greek,Greek
ZENON,Ζήνων,Greek,Greek
ZEPHYR,Ζέφυρ,Greek,Greek
ZEPHYROS,Ζέφυρος,Greek,Greek
ZEUS,Ζεύς,Greek,Greek
ZOPYROS,Ζώπυρος,Greek,Greek
ZOROBABEL,Ζοροβάβελ,Greek,Greek
ZOSIMOS,Ζώσιμος,Greek,Greek
ZOTIKOS,Ζωτικός,Greek,Greek
ADELFA,Αδελφά,Greek,Greek
ADELPHA,Αδελφά,Greek,Greek
ADONIA,Αδώνια,Greek,Greek
ADRASTEIA,Ἀδράστεια,Greek,Greek
AELLA,Αελλα,Greek,Greek
AELLAI,Αελλαι,Greek,Greek
AELLÔ,Ἀελλώ,Greek,Greek
AGAPE,Αγάπη,Greek,Greek
AGATHE,Αγάθη,Greek,Greek
AGAUE,Ἀγαυή,Greek,Greek
AGLAIA,Ἀγλαΐα,Greek,Greek
AGLAIE,Ἀγλαΐη,Greek,Greek
AIGLE,Αίγλη,Greek,Greek
AIKATERINE,Αἰκατερίνη,Greek,Greek
AKAKALLIS,Ακακαλλις,Greek,Greek
AKANTHA,Άκανθα,Greek,Greek
AKELDAMA,Ἀκελδαμά,Greek,Greek
ALALA,Ἀλαλά,Greek,Greek
ALEKTO,Ἀληκτώ,Greek,Greek
ALKESTIS,Άλκηστις,Greek,Greek
ALKIPPE,Αλκιππη,Greek,Greek
ALKMENE,Ἀλκμήνη,Greek,Greek
ALKYONE,Ἁλκυόνη,Greek,Greek
ALTHAIA,Αλθαία,Greek,Greek
AMALTHEIA,Αμάλθεια,Greek,Greek
AMPHITRITE,Αμφιτρίτη,Greek,Greek
AMYNTA,Αμύντα,Greek,Greek
ANAÏTIS,Ἀναίτις,Greek,Greek
ANASTASOULA,Αναστασούλα,Greek,Greek
ANDROMACHE,Ἀνδρομάχη,Greek,Greek
ANDROMĒDE,Ανδρομέδη,Greek,Greek
ANDRONIKA,Ανδρόνικα,Greek,Greek
ANEMONE,Άνεμονη,Greek,Greek
ANTHEIA,Άνθεια,Greek,Greek
ANTHOUSA,Ανθούσα,Greek,Greek
ANTIGONE,Αντιγόνη,Greek,Greek
ANTIOPE,Ἀντιόπη,Greek,Greek
AOIDE,Αοιδή,Greek,Greek
APHRODISIA,Αφροδίσια,Greek,Greek
APHRODITE,Άφροδίτη,Greek,Greek
APOLLONIA,Ἀπολλωνία,Greek,Greek
APPHIA,Ἀπφία,Greek,Greek
ARACHNE,Ἀράχνη,Greek,Greek
ARETHOUSA,Ἀρέθουσα,Greek,Greek
ARIADNÊ,Αριάδνη,Greek,Greek
ARISTODEME,Ἀριστόδημε,Greek,Greek
ARISTOMACHE,Ἀριστομάχη,Greek,Greek
ARTEMIS,Ἄρτεμις,Greek,Greek
ASPASIA,Ασπασία,Greek,Greek
ASTARTE,Ἀστάρτη,Greek,Greek
ATALANTE,Αταλάντη,Greek,Greek
ATHENE,Ἀθήνη,Greek,Greek
ATROPOS,Άτροπος,Greek,Greek
BARBARA,Βαρβάρα,Greek,Greek
BAUKIS,Βαυκις,Greek,Greek
BERENIKE,Βερενίκη,Greek,Greek
BETHANIA,Βηθανία,Greek,Greek
BETHESDA,Βηθεσδά,Greek,Greek
BETHZATHA,Βηθζαθά,Greek,Greek
CHARA,Χαρά,Greek,Greek
CHLOĒ,Χλόη,Greek,Greek
CHRYSANTHE,Χρυσάνθη,Greek,Greek
DAMALIS,Δάμαλις,Greek,Greek
DAMARIS,Δάμαρις,Greek,Greek
DANAË,Δανάη,Greek,Greek
DAPHNE,Δάφνη,Greek,Greek
DELIA,Δήλια,Greek,Greek
DELPHINIA,Δελφίνια,Greek,Greek
DEMETER,Δημήτηρ,Greek,Greek
DESPOINE,Δεσποίνη,Greek,Greek
DIDO,Διδώ,Greek,Greek
DIÔNÊ,Διώνη,Greek,Greek
DORIS,Δωρίς,Greek,Greek
DORKAS,Δορκάς,Greek,Greek
EFROSYNI,Εφροσύνη,Greek,Greek
EFTHALIA,Εφθαλία,Greek,Greek
EIDOTHEA,Ειδοθεα,Greek,Greek
EILEITHYIA,Εἰλείθυια,Greek,Greek
ÊIONÊ,Ηιονη,Greek,Greek
EIRÊNÊ,Εἰρήνη,Greek,Greek
EKHO,Έχω,Greek,Greek
ELENE,Ελένη,Greek,Greek
ELISABET,Ἐλισάβετ,Greek,Greek
ELPIS,ἐλπίς,Greek,Greek
ELYSIA,Ἠλύσια,Greek,Greek
ENYO,Ενυώ,Greek,Greek
EOS,Ἠώς,Greek,Greek
ERATO,Ερατώ,Greek,Greek
ERIS,Έρις,Greek,Greek
EUADNE,Ευαδνη,Greek,Greek
EUDOKIA,Ευδοκία,Greek,Greek
EUDORA,Ευδώρα,Greek,Greek
EUDOXIA,Ευδοξία,Greek,Greek
EUGENEIA,Ευγένεια,Greek,Greek
EUMELIA,Ευμελια,Greek,Greek
EUNIKE,Εὐνίκη,Greek,Greek
EUPHÊMÊ,Εύφημη,Greek,Greek
EUPHÊMIA,Ευφημία,Greek,Greek
EUPHROSYNÊ,Ευφροσύνη,Greek,Greek
EUPRAXIA,Ευπραξία,Greek,Greek
EUROPE,Ευρώπη,Greek,Greek
EURYBIA,Ευρυβία,Greek,Greek
EURYDIKE,Ευρυδίκη,Greek,Greek
EUTERPE,Ευτέρπη,Greek,Greek
EUTHALIA,Ευθαλία,Greek,Greek
EUTROPIA,Ευτροπια,Greek,Greek
EVA,Εὔα,Greek,Greek
FOTEINI,Φωτεινή,Greek,Greek
FOTINI,Φωτινή,Greek,Greek
GAIA,Γα�α,Greek,Greek
GALÊNÊ,Γαλήνη,Greek,Greek
GE,Γῆ,Greek,Greek
GLYKERIA,Γλυκερία,Greek,Greek
GOLGOTHA,Γολγοθά,Greek,Greek
GORGOPHONE,Γοργοφόνη,Greek,Greek
HAGNE,Άγνη,Greek,Greek
HALKYONE,Ἁλκυόνη,Greek,Greek
HANNA,Ἄννα,Greek,Greek
HARMONIA,Αρμονία,Greek,Greek
HATHOR,Αθορ,Greek,Greek
HÊBÊ,Ἥβη,Greek,Greek
HEKABE,Ἑκάβη,Greek,Greek
HEKATE,Εκάτη,Greek,Greek
HELÉNĒ,Ἑλένη,Greek,Greek
HELLE,Έλλη,Greek,Greek
HEMERA,Ημέρα,Greek,Greek
HÊRÂ,Ήρα,Greek,Greek
HERMIONE,῾Ερμιόνη,Greek,Greek
HERO,Ἡρὼ,Greek,Greek
HERODIAS,Ἡρωδιάς,Greek,Greek
HESTIA,Ἑστία,Greek,Greek
HIPPOLYTE,Ἱππολύτη,Greek,Greek
HŌSANNA,Ωσαννά,Greek,Greek
HYDRA,Ὕδρα,Greek,Greek
HYPATIA,Ὑπατια,Greek,Greek
IANTHE,Ιάνθη,Greek,Greek
IEZABEL,Ἰεζάβελ,Greek,Greek
IÔ,Ιώ,Greek,Greek
IOANNA,Ιωάννα,Greek,Greek
IOKASTE,Ἰοκάστη,Greek,Greek
IOLANTHE,Ιολανθη,Greek,Greek
IOLE,Ιόλη,Greek,Greek
IOULIA,Ἰουλία,Greek,Greek
IPHIGENEIA,Ἰφιγένεια,Greek,Greek
IRIS,Ίρις,Greek,Greek
ISIDORA,Ισίδωρα,Greek,Greek
ISIS,Ίσις,Greek,Greek
ISMÊNÊ,Ἰσμήνη,Greek,Greek
JOCASTE,Ἰοκάστη,Greek,Greek
KALLIGENEIA,Καλλιγένεια,Greek,Greek
KALLIOPE,Καλλιόπη,Greek,Greek
KALLISTÊ,Καλλίστη,Greek,Greek
KALLISTO,Καλλιστώ,Greek,Greek
KALYPSO,Καλυψώ,Greek,Greek
KANDAKE,Κανδάκη,Greek,Greek
KARME,Κάρμη,Greek,Greek
KASSANDRA,Κασσάνδρα,Greek,Greek
KASSIOPEIA,Κασσιέπεια,Greek,Greek
KERES,Κῆρες,Greek,Greek
KETO,Κητώ,Greek,Greek
KHARIKLO,Χαρικλώ,Greek,Greek
KHARIS,Χάρις,Greek,Greek
KHLOE,Χλόη,Greek,Greek
KHLORIS,Χλωρίς,Greek,Greek
KHRYSEIS,Χρύσηίς,Greek,Greek
KHTHONIA,Χθόνια,Greek,Greek
KIRKE,Κίρκη,Greek,Greek
KLEIO,Κλειώ,Greek,Greek
KLEOPATRA,Κλεοπάτρα,Greek,Greek
KLOTHO,Κλωθώ,Greek,Greek
KLYMENE,Κλυμένη,Greek,Greek
KLYTAIMNESTRA,Κλυταιμνήστρα,Greek,Greek
KORE,Κόρη,Greek,Greek
KORINNA,Κόριννα,Greek,Greek
KUMA,Κύμα,Greek,Greek
KURIA,Κυρία,Greek,Greek
KYBELE,Κυβηλη,Greek,Greek
KYMA,Κύμα,Greek,Greek
KYNTHIA,Κύνθια,Greek,Greek
KYRA,Κύρα,Greek,Greek
KYRIAKE,Κυριακή,Greek,Greek
LAKHESIS,Λάχεσις,Greek,Greek
LALAGE,Λαλαγη,Greek,Greek
LAMIA,Λαμία,Greek,Greek
LÁRISA,Λάρισα,Greek,Greek
LAVRA,Λαύρα,Greek,Greek
LEDA,Λήδα,Greek,Greek
LÊTÔ,Λητώ,Greek,Greek
LEUKOTHEA,Λευκοθέα,Greek,Greek
LIGEIA,Λίγεια,Greek,Greek
LOIS,Λωΐς,Greek,Greek
LYDIA,Λυδία,Greek,Greek
LYSANDRA,Λυσάνδρα,Greek,Greek
LYSIMACHE,Λυσιμάχη,Greek,Greek
LYSISTRATE,Λυσιστράτη,Greek,Greek
MAGDALĒNĒ,Μαγδαληνή,Greek,Greek
MAIA,Μαία,Greek,Greek
MARGARITES,Μαργαρίτες,Greek,Greek
MARIA,Μαρία,Greek,Greek
MARIAM,Μαριάμ,Greek,Greek
MARTHA,מַרְתָּה,Hebrew,Greek
MARTHA,מַרְתָּא,Aramaic,Greek
MARTHA,Μάρθα,Greek,Greek
MEDEIA,Μήδεια,Greek,Greek
MEDOUSA,Μέδουσα,Greek,Greek
MEGAIRA,Μέγαιρα,Greek,Greek
MELAINA,Μέλαινα,Greek,Greek
MELAINE,Μελαινη,Greek,Greek
MELETÊ,Μελέτη,Greek,Greek
MELINA,Μελίνα,Greek,Greek
MELISSA,Μέλισσα,Greek,Greek
MELITE,Μελίτη,Greek,Greek
MELPOMENÊ,Μελπομένη,Greek,Greek
MINTHE,Μένθη,Greek,Greek
MNÊMÊ,Μνήμη,Greek,Greek
MNÊMOSYNÊ,Μνημοσύνη,Greek,Greek
MYRINA,Μυρίνα,Greek,Greek
MYRINE,Μυρίνη,Greek,Greek
MYRRINE,Μυρρίνη,Greek,Greek
NANA,Νανα,Greek,Greek
NARKISSA,Νάρκισσα,Greek,Greek
NATÁSA,Νατάσα,Greek,Greek
NATASSA,Νατάσσα,Greek,Greek
NEMESIS,Νέμεσις,Greek,Greek
NEPHELÊ,Νεφέλη,Greek,Greek
NEPHTHYS,Νέφθυς,Greek,Greek
NIKÊ,Νίκη,Greek,Greek
NIKEPHOROS,Νικηφόρος,Greek,Greek
NIKOLETA,Νικολίτα,Greek,Greek
NYX,Νύξ,Greek,Greek
OINONE,Οινώνη,Greek,Greek
OKYRHOE,Οκυροη,Greek,Greek
OLIMPIA,Ολυμπία,Greek,Greek
OLYMPIA,Ολυμπία,Greek,Greek
OLYMPIAS,Ολυμπιάς,Greek,Greek
OPHELIA,Οφέλια,Greek,Greek
OURANIA,Ουρανία,Greek,Greek
PALLAS,Παλλάς,Greek,Greek
PANAGIOTA,Παναγιώτα,Greek,Greek
PANDORA,Πανδώρα,Greek,Greek
PARASKEVE,Παρασκευή,Greek,Greek
PARTHENIA,Παρθενιά,Greek,Greek
PARTHENOPÊ,Παρθενορή,Greek,Greek
PELAGIA,Πελαγία,Greek,Greek
PENELOPEIA,Πηνελόπεια,Greek,Greek
PÊRÔ,Πηρω,Greek,Greek
PERSEPHONE,Περσεφόνη,Greek,Greek
PERSIS,Πέρσις,Greek,Greek
PHAIDRA,Φαίδρα,Greek,Greek
PHERENIKE,Φερενίκη,Greek,Greek
PHILOMEL,Φιλομήλ,Greek,Greek
PHILOMELA,Φιλομήλα,Greek,Greek
PHILOMENA,Φιλομήνα,Greek,Greek
PHILYRE,Φιλύρη,Greek,Greek
PHOIBE,Φοίβη,Greek,Greek
PHOTINE,Φωτινή,Greek,Greek
PHYLLIS,Φυλλίς,Greek,Greek
PLÊIONÊ,Πλειόνη,Greek,Greek
PODARGE,Ποδαργη,Greek,Greek
POLONA,Πολωνα,Greek,Greek
POLYMNIA,Πολύμνια,Greek,Greek
POLYXENE,Πολυξένη,Greek,Greek
PRISKA,Πρίσκα,Greek,Greek
PRISKILLA,Πρίσκιλλα,Greek,Greek
PROKRIS,Πρόκρις,Greek,Greek
PSYKHE,ψυχή,Greek,Greek
RHAAB,Ῥαάβ,Greek,Greek
RHACHAB,ῬαΧάβ,Greek,Greek
RHACHEL,Ῥαχήλ,Greek,Greek
RHEA,Ῥέα,Greek,Greek
RHEBEKKA,Ῥεβέκκα,Greek,Greek
RHEIA,Ρεία,Greek,Greek
RHODĒ,Ῥόδη,Greek,Greek
RHOUTH,Ῥούθ,Greek,Greek
SALŌMĒ,Σαλώμη,Greek,Greek
SAPPHEIRE,Σαπφειρη,Greek,Greek
SAPPHIRA,Σάπφιρα,Greek,Greek
SAPPHO,Σαπφώ,Greek,Greek
SARRA,Σάρρα,Greek,Greek
SATYRION,Σάτυριον,Greek,Greek
SELENE,Σελήνη,Greek,Greek
SEMELE,Σεμέλη,Greek,Greek
SIBYL,Σίβύλ,Greek,Greek
SIBYLLA,Σίβύλλα,Greek,Greek
SKYLLA,Σκύλλα,Greek,Greek
SOFRONIA,Σωφρονία,Greek,Greek
SOPHIA,Σoφ�α,Greek,Greek
SOPHRONIA,Σωφρονία,Greek,Greek
SOSTRATE,Σωστράτη,Greek,Greek
SOTIRIA,Σωτηρία,Greek,Greek
SOUSÁNNA,Σουσάννα,Greek,Greek
SPYRIDOULA,Σπυριδούλα,Greek,Greek
STAMATIA,Σταματία,Greek,Greek
SYNTYCHE,Συντύχη,Greek,Greek
TABITHA,טַבְיְתָא,Aramaic,Greek
TABITHA,Ταβιθά,Greek,Greek
TABITHA,צְבִיָּה,Hebrew,Greek
TALITHA,Ταλιθά,Greek,Greek
TALITHA,טלתא,Aramaic,Greek
TANIS,Τάνις,Greek,Greek
TASOULA,Τασούλα,Greek,Greek
TERPSIKHORE,Τερψιχόρη,Greek,Greek
TETHYS,Τηθύς,Greek,Greek
THAÏS,Θαΐς,Greek,Greek
THALASSA,θάλασσα,Greek,Greek
THALEIA,Θάλεια,Greek,Greek
THANA,θάνα,Greek,Greek
THEKLA,Θέκλα,Greek,Greek
THEMIS,Θέμις,Greek,Greek
THEODORA,Θεοδώρα,Greek,Greek
THEODOSIA,Θεοδοσία,Greek,Greek
THEOKLEIA,Θεόκλεια,Greek,Greek
THEOPHANIA,Θεοφάνια,Greek,Greek
THEOPHILA,Θεοφιλά,Greek,Greek
THERA,Θήρα,Greek,Greek
THETIS,Θέτις,Greek,Greek
THYIA,Θυία,Greek,Greek
THYONE,Θυώνη,Greek,Greek
TIMO,Τίμω,Greek,Greek
TIMOTHEA,Τιμοθέα,Greek,Greek
TISIPHONE,Τισιφόνη,Greek,Greek
TITANIA,Τιτάνια,Greek,Greek
TRYPHAINA,Τρύφαινα,Greek,Greek
TRYPHOSA,Τρυφωσα,Greek,Greek
TYRO,Τυρώ,Greek,Greek
VASILIKI,Βασιλική,Greek,Greek
XANTHÊ,Ξάνθη,Greek,Greek
XANTHIPPE,Ξανθίππη,Greek,Greek
XENA,Ξένα,Greek,Greek
XENE,Ξένη,Greek,Greek
XENIA,Ξενία,Greek,Greek
ZENA,Ζένα,Greek,Greek
ZENAIS,Ζηναις,Greek,Greek
ZENIA,Ζένια,Greek,Greek
ZENOBIA,Ζηνοβία,Greek,Greek
ZEPHYRA,Ζεφύρα,Greek,Greek
ZOE,Ζωή,Greek,Greek
ZONA,Ζώνα,Greek,Greek
ZOSIME,Ζώσιμη,Greek,Greek
PLAMEN,Пламен,Gypsy_names_roma,Gypsy_names_roma
YANKO,Янко,Gypsy_names_roma,Gypsy_names_roma
DONKA,Донка,Gypsy_names_roma,Gypsy_names_roma
LALA,Лала,Gypsy_names_roma,Gypsy_names_roma
LYUBA,Люба,Gypsy_names_roma,Gypsy_names_roma
MALA,माला,Gypsy_names_roma,Gypsy_names_roma
MIRELA,Мирела,Bulgarian,Gypsy_names_roma
NADYA,Надя,Gypsy_names_roma,Gypsy_names_roma
STANKA,Станка,Gypsy_names_roma,Gypsy_names_roma
ABDOWN,עַבְדּוֹן,Hebrew,Hebrew
ABICHAIL,אֲבִיחַיִל,Hebrew,Hebrew
ABIHAYIL,אֲבִיחַיִל,Hebrew,Hebrew
ABIYAH,אֲבִיָּה,Hebrew,Hebrew
ABIYDA,אֲבִידַע,Hebrew,Hebrew
ABIYDAN,אֲבִידָן,Hebrew,Hebrew
ABIY'EL,אֲבִיאֵל,Hebrew,Hebrew
ABIYHAYIL,אֲבִיחַיִל,Hebrew,Hebrew
ABIYHUW,אֲבִיהוּא,Hebrew,Hebrew
ABIYMA'EL,אֲבִימָאֵל,Hebrew,Hebrew
ABIYMELEK,אֲבִימֶלֶך,Hebrew,Hebrew
ABIYNO'AM,אֲבִינׄעַם,Hebrew,Hebrew
ABIYRAM,אֲבִירָם,Hebrew,Hebrew
ABIYSHALOWM,אֲבִישָׁלוֹם,Hebrew,Hebrew
ABIYSHAY,אֲבִישַׁי,Hebrew,Hebrew
ABRAHAM,אַבְרָהָם,Hebrew,Hebrew
ABRAM,אַבְרָם,Hebrew,Hebrew
ACAPH,אָסָף,Hebrew,Hebrew
ACH'AB,אַחְאָב,Hebrew,Hebrew
ACHASHVEROSH,אֲחַשְׁוֵרוֹש,Hebrew,Hebrew
ACHAZ,אָחָז,Hebrew,Hebrew
ACHAZYAH,אֲחַזְיָה,Hebrew,Hebrew
ACHIYAM,אֲחִיאָם,Hebrew,Hebrew
ACHIYRAM,אֲחִירָם,Hebrew,Hebrew
ACHYAN,אַחְיָן,Hebrew,Hebrew
ADAD,אֲדַד,Hebrew,Hebrew
ADALYA,אֲדַלְיָא,Hebrew,Hebrew
ADAM,אָדָם,Hebrew,Hebrew
ADI,עֲדִי,Hebrew,Hebrew
ADIYN,עָדִין,Hebrew,Hebrew
ADIYNA,עֲדִינָא,Hebrew,Hebrew
ADIYNOW,עֲדִינוֹ,Hebrew,Hebrew
ADLAY,עַדְלַי,Hebrew,Hebrew
ADNA,עַדְנָא,Hebrew,Hebrew
ADNAH,עדְנָה,Hebrew,Hebrew
ADONAI,אֲדׄנָי,Hebrew,Hebrew
ADONIYAH,אֲדּׄנִיָּה,Hebrew,Hebrew
AFRA,רפַעָ,Hebrew,Hebrew
AGRON,אַגְרוֹן,Hebrew,Hebrew
AHARON,אַהֲרׄן,Hebrew,Hebrew
AHAROWN,אַהֲרׄן,Hebrew,Hebrew
AHAZ,אָחָז,Hebrew,Hebrew
AKAN,עָכָן,Hebrew,Hebrew
AKAR,עָכָר,Hebrew,Hebrew
AKIVA,עֲקִיבָא,Hebrew,Hebrew
