Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,113.370003,114.610001,113.040001,113.500000,103.504456,10146300
2018-10-02,113.360001,114.120003,112.809998,113.970001,103.933075,13753100
2018-10-03,114.940002,115.660004,114.480003,115.040001,104.908844,17142000
2018-10-04,114.550003,116.809998,114.209999,115.269997,105.854698,16357400
2018-10-05,115.830002,116.099998,114.019997,114.620003,105.257797,13777600
2018-10-08,114.250000,115.779999,113.349998,115.320000,105.900612,14370900
2018-10-09,114.669998,115.029999,113.669998,114.519997,105.165962,14069500
2018-10-10,114.699997,114.949997,111.470001,111.470001,102.365082,23086400
2018-10-11,110.970001,111.470001,107.379997,108.129997,99.297897,33705600
2018-10-12,110.370003,110.830002,105.599998,106.949997,98.214279,32075700
2018-10-15,107.199997,108.849998,106.320000,106.339996,97.654106,18903200
2018-10-16,107.160004,108.779999,106.730003,108.620003,99.747894,19302800
2018-10-17,108.379997,110.800003,108.230003,109.830002,100.859047,18794500
2018-10-18,109.019997,109.839996,107.809998,108.089996,99.261169,17582500
2018-10-19,107.650002,109.220001,107.269997,107.910004,99.095871,15234500
2018-10-22,108.150002,108.339996,106.110001,106.360001,97.672478,16199100
2018-10-23,104.199997,106.160004,103.699997,105.250000,96.653145,21407500
2018-10-24,104.760002,105.029999,102.910004,103.290001,94.853226,23168900
2018-10-25,104.180000,105.900002,103.720001,104.860001,96.294991,17464700
2018-10-26,104.000000,104.559998,102.730003,103.419998,94.972610,19174900
2018-10-29,104.459999,106.629997,103.699997,104.849998,96.285812,18445200
2018-10-30,105.709999,106.980003,104.860001,106.699997,97.984703,18019700
2018-10-31,108.080002,110.480003,107.790001,109.019997,100.115196,20860000
2018-11-01,109.620003,110.220001,108.320000,108.980003,100.078476,13065000
2018-11-02,109.900002,110.809998,107.489998,108.379997,99.527473,19009200
2018-11-05,108.610001,109.290001,108.419998,109.089996,100.179474,10276400
2018-11-06,108.669998,109.669998,107.760002,109.599998,100.647835,10825000
2018-11-07,110.370003,111.730003,109.349998,111.480003,102.374268,12679600
2018-11-08,111.010002,112.930000,111.000000,112.379997,103.200752,11662500
2018-11-09,112.230003,112.360001,110.830002,111.290001,102.199791,10432200
2018-11-12,111.419998,111.940002,108.599998,108.949997,100.050919,13279700
2018-11-13,109.099998,111.120003,109.099998,109.589996,100.638634,13746100
2018-11-14,110.230003,110.709999,105.980003,107.330002,98.563248,18361400
2018-11-15,108.239998,110.080002,106.809998,110.070000,101.079453,19100000
2018-11-16,109.449997,110.760002,108.550003,109.989998,101.005974,13798600
2018-11-19,109.959999,111.199997,109.529999,110.830002,101.777351,13987000
2018-11-20,109.779999,110.489998,107.980003,108.449997,99.591759,18936200
2018-11-21,109.029999,109.610001,107.639999,107.639999,98.847923,10619600
2018-11-23,106.739998,107.389999,106.059998,106.650002,97.938789,6488400
2018-11-26,107.720001,109.980003,107.449997,109.260002,100.335602,13948300
2018-11-27,108.760002,110.029999,108.629997,109.720001,100.758026,9238200
2018-11-28,109.800003,111.400002,108.870003,110.940002,101.878387,13977300
2018-11-29,110.269997,110.800003,109.639999,110.059998,101.070244,11144300
2018-11-30,109.849998,111.320000,109.580002,111.190002,102.107964,18652700
2018-12-03,112.379997,112.889999,111.739998,112.239998,103.072197,16034500
2018-12-04,111.599998,111.599998,106.730003,107.230003,98.471420,23555900
2018-12-06,105.010002,105.360001,102.879997,105.190002,96.598038,27213900
2018-12-07,105.160004,106.980003,102.910004,103.290001,94.853226,19248600
2018-12-10,102.870003,103.489998,99.279999,101.360001,93.080887,23636400
2018-12-11,103.129997,103.660004,100.209999,100.370003,92.171745,16860700
2018-12-12,101.660004,102.900002,100.059998,101.019997,92.768646,22621500
2018-12-13,101.550003,101.970001,100.669998,101.120003,92.860481,17250900
2018-12-14,99.989998,101.940002,99.860001,100.290001,92.098274,19879500
2018-12-17,99.769997,100.559998,98.440002,99.010002,90.922836,25113500
2018-12-18,99.419998,100.889999,98.120003,98.540001,90.491219,20837200
2018-12-19,98.410004,100.580002,96.599998,97.290001,89.343323,28767900
2018-12-20,96.610001,98.279999,95.690002,96.449997,88.571922,31825200
2018-12-21,96.680000,98.430000,93.690002,94.169998,86.478157,41313900
2018-12-24,92.889999,94.220001,92.139999,92.139999,84.613983,17009300
2018-12-26,92.690002,95.959999,91.110001,95.959999,88.121948,22542900
2018-12-27,94.820000,97.150002,93.550003,97.040001,89.113739,20304700
2018-12-28,97.949997,98.320000,96.440002,96.830002,88.920898,17963300
